,location,total_sqft,bath,price,bhk
2874,other,1370.0,2.0,75.0,3
2878,other,2000.0,3.0,200.0,3
2879,other,1020.07,2.0,68.38,2
2881,other,1460.0,2.0,73.0,3
2886,other,4200.0,4.0,325.0,4
2887,other,1665.0,2.0,125.0,3
2889,other,1230.0,2.0,78.0,2
2890,other,1080.0,2.0,75.0,3
2891,other,1000.0,2.0,60.0,2
2892,other,630.5,1.0,32.79,1
2894,other,1697.0,3.0,115.0,3
2895,other,3537.0,5.0,210.0,4
2896,other,615.0,1.0,28.29,1
2897,other,1350.0,2.0,83.0,3
2901,other,1084.0,2.0,58.0,2
2903,other,2400.0,2.0,150.0,3
2904,other,460.0,1.0,21.0,1
2906,other,1200.0,3.0,78.0,3
2908,other,1801.0,3.0,140.0,3
2909,other,1697.0,3.0,115.0,3
2910,other,1199.0,2.0,65.0,2
2911,other,2300.0,3.0,220.0,3
2914,other,1125.0,2.0,75.0,2
2915,other,1200.0,2.0,67.0,2
2919,other,1596.0,3.0,95.0,3
2920,other,1296.0,2.0,89.06,2
2921,other,1639.0,3.0,123.0,3
2924,other,1218.0,2.0,73.0,2
2926,other,2559.0,3.0,141.0,3
2927,other,525.0,1.0,26.0,1
2930,other,920.0,2.0,65.0,2
2933,other,1530.0,2.0,90.0,3
2934,other,1372.0,2.0,90.0,3
2936,other,3895.0,4.0,220.0,4
2937,other,1950.0,3.0,131.0,3
2943,other,1430.0,3.0,72.0,3
2944,other,1451.5,4.0,121.0,4
2946,other,1650.0,4.0,99.0,4
2948,other,925.0,2.0,63.0,2
2949,other,3016.0,4.0,230.0,4
2952,other,1200.0,3.0,95.0,4
2953,other,1336.0,2.0,100.0,2
2954,other,673.0,1.0,36.85,1
2956,other,1600.0,3.0,160.0,3
2957,other,1200.0,2.0,79.0,2
2959,other,1143.0,2.0,65.0,2
2961,other,1584.0,3.0,145.0,4
2962,other,1785.0,3.0,94.0,3
2964,other,1500.0,2.0,80.0,3
2965,other,3300.0,3.0,250.0,5
2967,other,650.0,1.0,20.0,1
2968,other,1480.0,2.0,120.0,2
2970,other,1570.0,3.0,115.0,3
2971,other,1665.0,3.0,86.91,3
2972,other,1100.0,2.0,68.0,2
2973,other,1350.0,2.0,87.01,3
2974,other,1719.0,3.0,116.0,3
2975,other,664.0,1.0,35.0,1
2978,other,1680.0,3.0,85.0,3
2979,other,717.0,2.0,49.475,2
2980,other,1520.0,2.0,150.0,3
2982,other,1760.0,3.0,150.0,3
2985,other,1174.0,2.0,74.0,2
2988,other,2200.0,3.0,130.0,3
2989,other,850.0,2.0,55.0,2
2990,other,1750.0,3.0,180.0,3
2991,other,2024.0,3.0,157.0,3
2995,other,1575.0,5.0,158.0,4
2999,other,1440.0,2.0,115.0,2
3000,other,1500.0,2.0,84.0,2
3001,other,1380.0,1.0,62.1,1
3003,other,705.0,1.0,36.5,1
3004,other,2240.0,5.0,155.0,3
3005,other,1584.01,3.0,103.0,3
3006,other,1340.0,3.0,77.0,3
3009,other,685.0,1.0,40.0,1
3014,other,2400.0,3.0,149.0,3
3016,other,1858.0,3.0,98.3,3
3017,other,1260.0,1.0,41.0,1
3018,other,3530.0,4.0,290.0,4
3021,other,1335.0,3.0,89.0,3
3022,other,1999.0,3.0,132.0,3
3023,other,1200.0,2.0,125.0,2
3024,other,1397.0,3.0,110.0,3
3025,other,1616.0,3.0,95.0,3
3027,other,525.0,1.0,30.0,1
3028,other,1200.0,2.0,98.0,3
3029,other,1205.47,2.0,81.0,2
3032,other,3600.0,5.0,220.0,4
3033,other,923.0,1.0,60.84,1
3034,other,3595.0,6.0,360.0,4
3036,other,1495.0,2.0,79.5,2
3037,other,1664.0,2.0,93.865,3
3038,other,1485.0,3.0,85.0,3
3042,other,3250.0,5.0,290.0,5
3043,other,1216.0,2.0,66.48,2
3045,other,1743.0,3.0,93.25,3
3047,other,1512.0,2.0,110.0,3
3048,other,1650.0,3.0,100.0,3
3056,other,3259.0,3.0,270.0,3
3057,other,1115.0,2.0,65.12,2
3058,other,2072.0,4.0,139.0,3
3061,other,1457.0,2.0,85.0,2
3064,other,420.0,1.0,17.0,1
3067,other,1315.0,2.0,85.4,3
3069,other,1127.0,2.0,68.0,2
3070,other,1397.0,3.0,104.0,3
3073,other,2720.0,5.0,210.0,3
3074,other,1230.0,2.0,76.0,2
3075,other,3200.0,3.0,190.0,4
3077,other,1868.0,3.0,121.0,3
3078,other,1689.28,3.0,91.2,3
3080,other,1350.0,2.0,100.0,2
3082,other,1310.0,2.0,85.0,3
3085,other,1397.0,3.0,108.0,3
3087,other,1125.0,2.0,61.2,2
3089,other,1241.0,2.0,82.0,2
3090,other,660.0,1.0,62.0,1
3092,other,2340.0,4.0,148.0,4
3093,other,596.0,1.0,42.0,1
3094,other,10000.0,16.0,550.0,16
3095,other,1200.0,4.0,110.0,4
3096,other,1910.0,3.0,190.0,3
3097,other,1139.0,2.0,80.0,2
3098,other,3122.0,5.0,225.0,4
3100,other,1168.0,2.0,64.08,2
3102,other,1340.0,2.0,75.0,2
3103,other,1405.0,2.0,70.0,3
3105,other,1750.0,3.0,149.0,3
3107,other,985.0,2.0,63.0,2
3108,other,1300.0,2.0,129.0,2
3109,other,1850.0,3.0,150.0,3
3110,other,1490.0,2.0,88.0,3
3117,other,1290.0,2.0,94.5,3
3118,other,1318.0,2.0,85.28,3
3119,other,1128.0,2.0,68.0,2
3120,other,4428.0,4.0,255.0,4
3121,other,1051.0,2.0,56.74,2
3122,other,3500.0,5.0,275.0,3
3124,other,1327.0,2.0,85.0,2
3125,other,2912.0,6.0,210.0,4
3127,other,650.0,1.0,30.0,1
3128,other,1200.0,3.0,67.75,3
3129,other,1500.0,2.0,89.99,3
3132,other,1819.18,3.0,160.0,3
3133,other,1355.0,3.0,83.87,3
3135,other,910.0,1.0,42.0,1
3137,other,1304.0,2.0,100.0,2
3141,other,1132.0,2.0,89.37,2
3143,other,794.0,1.0,65.0,1
3146,other,525.0,1.0,30.0,1
3147,other,1447.0,2.0,75.97,2
3148,other,1269.0,2.0,75.0,2
3151,other,1208.0,2.0,70.0,2
3155,other,532.0,1.0,22.49,1
3156,other,1060.0,3.0,62.0,3
3157,other,700.0,1.0,35.0,1
3160,other,1365.0,2.0,122.0,2
3161,other,984.0,2.0,51.0,2
3163,other,1475.0,3.0,96.0,3
3164,other,1300.0,2.0,79.0,2
3166,other,1550.0,2.0,160.0,2
3167,other,1666.0,3.0,95.0,3
3170,other,1137.0,2.0,63.0,2
3171,other,1360.0,2.0,70.5,3
3172,other,1374.0,2.0,70.0,3
3173,other,1700.0,3.0,155.0,3
3174,other,3227.0,5.0,250.0,5
3175,other,2145.0,4.0,125.0,4
3176,other,2170.0,3.0,151.0,3
3178,other,1790.0,3.0,100.0,3
3179,other,550.0,1.0,17.0,1
3182,other,1000.0,2.0,80.0,2
3183,other,2940.0,6.0,280.0,4
3186,other,1500.0,2.0,97.0,3
3187,other,1730.0,3.0,139.0,3
3189,other,1545.0,3.0,79.0,3
3190,other,1865.0,4.0,140.0,3
3194,other,1200.0,3.0,120.0,3
3195,other,2600.0,4.0,260.0,4
3196,other,1700.0,4.0,108.0,4
3197,other,1682.0,3.0,120.0,3
3199,other,901.0,2.0,49.5,2
3200,other,1730.0,3.0,120.0,3
3201,other,1200.0,4.0,125.0,4
3202,other,1500.0,3.0,102.0,3
3203,other,3785.0,6.0,280.0,4
3204,other,3500.0,4.0,245.0,4
3208,other,350.0,1.0,13.5,1
3210,other,835.0,1.0,46.95,1
3211,other,1444.0,2.0,80.0,3
3213,other,1521.0,3.0,94.71,3
3216,other,2760.0,5.0,157.0,3
3217,other,1325.0,1.0,92.0,2
3219,other,1525.0,3.0,90.0,3
3220,other,1320.0,2.0,73.0,3
3221,other,650.0,1.0,23.0,1
3222,other,1858.0,2.0,167.0,3
3224,other,769.0,2.0,40.0,2
3225,other,1571.0,3.0,105.0,3
3226,other,1445.0,3.0,86.56,3
3227,other,1590.0,2.0,135.0,3
3228,other,902.0,2.0,49.0,2
3229,other,2238.0,3.0,140.0,3
3232,other,1088.0,2.0,68.0,2
3234,other,2150.0,6.0,205.0,6
3235,other,1920.0,3.0,150.0,3
3236,other,1000.0,2.0,57.0,2
3242,other,923.0,1.0,45.69,1
3243,other,2900.0,3.0,285.0,3
3244,other,1175.0,2.0,75.0,2
3245,other,975.0,2.0,55.0,2
3246,other,2400.0,4.0,180.0,3
3247,other,1330.0,3.0,72.0,3
3249,other,1758.0,3.0,133.0,3
3250,other,1255.0,2.0,77.68,3
3255,other,1420.0,2.0,107.0,2
3256,other,1591.0,3.0,115.0,3
3257,other,1680.0,3.0,120.0,3
3258,other,675.0,3.0,52.0,2
3259,other,1055.0,2.0,57.63,2
3260,other,1918.0,3.0,129.0,3
3261,other,1280.0,2.0,76.0,2
3264,other,2106.0,3.0,126.0,3
3265,other,1801.0,3.0,139.0,3
3267,other,1320.0,2.0,92.0,2
3269,other,3800.0,5.0,300.0,4
3271,other,1893.0,3.0,100.0,3
3273,other,1190.0,2.0,75.0,2
3275,other,2400.0,2.0,160.0,2
3277,other,2113.0,3.0,155.0,3
3279,other,1884.0,4.0,120.0,4
3284,other,1150.0,2.0,75.0,2
3285,other,703.0,1.0,52.0,1
3288,other,1302.0,2.0,69.1,2
3292,other,3262.0,4.0,260.0,4
3293,other,1600.0,3.0,104.0,3
3294,other,1150.0,2.0,90.0,2
3296,other,1263.0,2.0,78.0,2
3297,other,1299.0,2.0,85.0,2
3298,other,1330.0,2.0,78.0,2
3302,other,1600.0,3.0,95.0,3
3304,other,1390.0,2.0,80.0,3
3305,other,1550.0,2.0,90.0,3
3306,other,919.0,2.0,49.0,2
3309,other,1159.0,2.0,60.0,2
3311,other,1197.0,2.0,79.0,2
3312,other,2690.0,4.0,191.0,4
3316,other,1132.0,2.0,79.28,2
3317,other,1645.0,3.0,135.0,3
3319,other,1937.0,3.0,140.0,3
3322,other,1350.0,2.0,80.99,3
3325,other,1720.0,3.0,135.0,3
3326,other,2080.0,3.0,175.0,3
3327,other,1500.0,3.0,87.0,3
3328,other,1566.0,3.0,97.0,3
3329,other,1500.0,4.0,110.0,4
3332,other,1839.0,3.0,165.0,3
3340,other,2830.0,5.0,160.0,4
3341,other,1315.0,2.0,74.0,3
3348,other,900.0,2.0,70.0,2
3352,other,1535.0,3.0,86.0,3
3353,other,1392.0,2.0,130.0,2
3354,other,1050.0,2.0,72.0,2
3355,other,1513.0,3.0,103.0,3
3359,other,1355.0,3.0,83.87,3
3360,other,1200.0,6.0,70.0,4
3362,other,1500.0,3.0,149.0,3
3363,other,3895.0,4.0,405.0,4
3368,other,4818.0,4.0,390.0,4
3370,other,1559.0,3.0,127.0,3
3372,other,1750.0,3.0,150.0,3
3374,other,1868.0,3.0,135.0,3
3377,other,1691.0,3.0,98.0,3
3378,other,4355.0,3.0,350.0,5
3380,other,1690.0,3.0,112.0,3
3381,other,1418.0,2.0,103.0,2
3382,other,1896.0,3.0,125.0,4
3383,other,605.0,1.0,40.0,1
3385,other,750.0,2.0,50.0,1
3388,other,3216.0,4.0,226.0,4
3389,other,2400.0,4.0,225.0,5
3392,other,1255.0,2.0,74.0,2
3393,other,1500.0,2.0,100.0,3
3394,other,1296.0,2.0,72.0,2
3398,other,1530.0,3.0,77.0,3
3400,other,1605.0,2.0,85.0,3
3403,other,1374.0,3.0,68.0,3
3404,other,1140.0,2.0,65.0,2
3405,other,1725.0,3.0,130.0,3
3407,other,1574.0,3.0,93.34,3
3408,other,965.0,1.0,32.0,1
3409,other,1550.0,3.0,83.0,3
3411,other,1082.0,2.0,55.0,3
3413,other,2483.0,5.0,230.0,4
3415,other,3198.0,4.0,250.0,4
3419,other,1200.0,2.0,70.0,2
3422,other,2600.0,3.0,195.0,3
3424,other,1255.0,2.0,80.0,2
3425,other,1904.0,3.0,155.0,3
3426,other,1329.0,2.0,70.0,2
3428,other,2135.0,3.0,160.0,3
3429,other,813.0,1.0,39.0,1
3430,other,3884.0,4.0,240.0,4
3431,other,3876.0,3.0,300.0,3
3435,other,1880.0,3.0,95.0,3
3437,other,1575.0,3.0,90.0,3
3438,other,1630.0,2.0,97.78,3
3442,other,2425.0,4.0,173.0,4
3445,other,1000.0,2.0,58.0,2
3447,other,1900.0,4.0,145.0,3
3450,other,1075.0,2.0,60.0,2
3451,other,1000.0,2.0,65.3,2
3452,other,1450.0,3.0,77.41,3
3454,other,1280.0,2.0,75.0,2
3456,other,1350.0,2.0,86.0,2
3457,other,1325.0,2.0,70.0,2
3459,other,1890.0,3.0,162.0,3
3460,other,735.0,1.0,75.0,1
3461,other,500.0,1.0,24.0,1
3462,other,1304.0,3.0,80.0,3
3463,other,1653.0,3.0,120.0,3
3468,other,1200.0,2.0,100.0,2
3469,other,1532.0,3.0,83.0,3
3470,other,2776.0,4.0,195.0,3
3475,other,1260.0,2.0,70.0,2
3478,other,1476.0,3.0,95.0,3
3479,other,1185.0,2.0,85.0,2
3480,other,1265.0,2.0,82.0,3
3483,other,1280.0,2.0,69.0,2
3485,other,1850.0,3.0,98.0,3
3486,other,1195.0,2.0,70.0,2
3487,other,2000.0,3.0,185.0,3
3491,other,2360.0,4.0,150.0,4
3492,other,1030.0,2.0,77.25,2
3494,other,929.0,2.0,48.0,2
3496,other,1485.0,3.0,115.0,3
3498,other,1407.0,3.0,120.0,3
3499,other,1482.0,2.0,97.0,3
3500,other,1163.0,2.0,98.86,2
3501,other,1570.0,3.0,140.0,3
3502,other,3480.0,4.0,284.0,3
3503,other,520.0,1.0,14.04,1
3504,other,2000.0,3.0,160.0,3
3505,other,1352.0,2.0,75.0,2
3506,other,1152.0,2.0,65.0,2
3507,other,1575.0,3.0,93.0,3
3508,other,1965.0,4.0,125.0,3
3509,other,1300.0,2.0,70.0,3
3513,other,975.0,2.0,50.0,2
3517,other,1788.0,3.0,90.0,3
3521,other,1380.0,2.0,75.0,2
3522,other,1645.0,3.0,117.0,3
3524,other,1175.0,2.0,82.5,2
3526,other,1150.0,2.0,70.0,2
3528,other,1007.0,2.0,65.0,2
3532,other,2372.0,3.0,140.0,3
3533,other,1016.0,2.0,58.0,2
3536,other,1070.0,2.0,60.0,2
3537,other,1532.0,3.0,115.0,3
3539,other,3100.0,3.0,250.0,3
3542,other,3262.0,5.0,205.0,4
3543,other,1190.0,2.0,100.0,2
3544,other,1827.0,3.0,100.0,3
3545,other,1210.0,2.0,75.0,2
3546,other,1500.0,3.0,95.0,3
3548,other,1251.0,2.0,88.73,2
3549,other,1600.0,2.0,115.0,3
3550,other,1128.0,2.0,65.5,2
3551,other,1820.0,3.0,93.0,3
3552,other,2072.0,4.0,159.0,3
3554,other,1925.0,2.0,114.0,3
3555,other,2651.0,2.0,225.0,3
3556,other,2072.0,4.0,147.0,3
3558,other,1752.0,3.0,145.0,3
3559,other,960.0,2.0,56.0,2
3560,other,1180.0,2.0,63.0,2
3561,other,2270.0,3.0,180.0,3
3562,other,650.0,2.0,59.0,2
3563,other,1200.0,2.0,75.0,2
3567,other,1300.0,3.0,69.0,3
3569,other,2006.0,4.0,196.0,3
3570,other,1290.0,2.0,80.0,2
3572,other,1400.0,2.0,78.0,2
3573,other,1200.0,2.0,75.0,2
3574,other,1155.0,2.0,60.0,3
3576,other,700.0,2.0,40.0,2
3577,other,1112.0,2.0,88.0,2
3578,other,1178.0,2.0,78.0,2
3579,other,1274.0,2.0,81.0,2
3581,other,760.0,1.0,21.28,1
3584,other,1645.0,3.0,95.0,3
3591,other,1097.0,2.0,65.0,2
3593,other,1715.0,3.0,115.0,3
3597,other,1400.0,2.0,78.0,3
3598,other,458.0,1.0,19.695,1
3600,other,1640.0,3.0,88.0,3
3601,other,1700.0,3.0,125.0,3
3604,other,1275.0,2.0,95.0,3
3605,other,1600.0,3.0,165.0,4
3607,other,1627.86,3.0,88.0,3
3609,other,3004.0,4.0,285.0,4
3611,other,1182.0,2.0,82.5,2
3612,other,1500.0,3.0,100.0,3
3613,other,3900.0,5.0,360.0,4
3618,other,2062.0,3.0,140.0,4
3619,other,1874.0,4.0,130.0,3
3620,other,1171.0,2.0,75.0,2
3624,other,1760.0,3.0,110.0,3
3625,other,1200.0,2.0,125.0,2
3626,other,1192.0,2.0,62.0,3
3627,other,1645.0,3.0,121.0,3
3628,other,1250.0,2.0,72.0,2
3629,other,709.0,1.0,34.385,1
3630,other,1340.0,2.0,77.0,2
3631,other,2388.0,4.0,239.0,3
3632,other,1369.1,2.0,104.0,2
3633,other,1355.0,2.0,75.0,2
3634,other,1150.0,2.0,65.0,2
3635,other,1938.0,3.0,113.0,3
3637,other,1636.0,3.0,85.0,3
3638,other,1430.0,2.0,75.0,3
3640,other,993.0,2.0,50.0,3
3641,other,1700.0,3.0,88.0,3
3642,other,1270.0,2.0,78.0,2
3643,other,1500.0,3.0,121.0,3
3644,other,1650.0,3.0,86.45,3
3645,other,1109.0,2.0,63.0,2
3647,other,2885.0,3.0,185.0,4
3649,other,607.0,1.0,35.0,1
3651,other,4500.0,5.0,300.0,4
3652,other,2600.0,3.0,237.0,3
3656,other,1125.0,2.0,65.0,2
3657,other,1825.0,3.0,126.0,3
3658,other,1320.0,2.0,79.5,2
3660,other,750.0,2.0,52.7,2
3661,other,1400.0,2.0,80.54,3
3662,other,4104.0,4.0,360.0,4
3663,other,5000.0,4.0,375.0,4
3664,other,3295.0,4.0,260.0,5
3665,other,1200.0,3.0,61.96,3
3667,other,812.0,1.0,26.0,1
3673,other,1200.0,2.0,75.0,2
3674,other,1015.0,2.0,58.0,2
3675,other,2400.0,3.0,165.0,3
3676,other,3000.0,4.0,306.0,4
3679,other,1300.0,2.0,109.0,2
3680,other,1300.0,2.0,102.0,2
3681,other,1512.0,3.0,123.0,3
3682,other,1053.4,3.0,88.91,3
3683,other,605.0,1.0,41.745,1
3684,other,1153.0,2.0,65.0,2
3685,other,2080.0,2.0,150.0,2
3686,other,1255.0,2.0,69.0,2
3687,other,1583.0,3.0,109.0,3
3688,other,1505.0,2.0,90.0,2
3689,other,1365.0,2.0,75.08,3
3690,other,1200.0,3.0,95.75,3
3691,other,1810.0,4.0,148.0,3
3692,other,440.0,1.0,35.0,1
3693,other,975.0,2.0,63.0,2
3695,other,1530.0,2.0,97.0,3
3698,other,1308.0,2.0,83.0,2
3702,other,1592.0,3.0,91.0,3
3703,other,1222.0,2.0,112.0,2
3705,other,656.0,1.0,53.0,1
3706,other,4500.0,5.0,400.0,4
3708,other,1698.0,3.0,102.0,3
3711,other,1152.0,2.0,65.75,2
3712,other,550.0,1.0,21.0,1
3715,other,1419.0,2.0,73.0,3
3725,other,1500.0,2.0,130.0,3
3729,other,2560.0,3.0,265.0,3
3731,other,2400.0,3.0,150.0,7
3732,other,1856.0,3.0,135.0,3
3735,other,1150.0,2.0,77.0,2
3736,other,2094.0,2.0,113.19,3
3740,other,1036.0,2.0,59.46,2
3741,other,3445.0,5.0,270.0,4
3742,other,1400.0,2.0,80.0,2
3745,other,715.0,1.0,45.0,1
3746,other,2283.0,4.0,130.0,4
3748,other,1400.0,2.0,85.0,3
3750,other,1700.0,3.0,140.0,3
3751,other,1591.0,3.0,120.0,3
3752,other,1515.0,2.0,79.0,3
3753,other,2500.0,3.0,200.0,5
3755,other,1382.0,2.0,76.18,3
3756,other,1533.0,3.0,150.0,3
3758,other,1500.0,2.0,120.0,3
3761,other,620.0,1.0,27.0,1
3762,other,4827.0,4.0,400.0,4
3764,other,1405.0,2.0,84.5,2
3766,other,1174.0,2.0,78.0,2
3767,other,1155.0,2.0,72.0,2
3768,other,1411.0,3.0,93.04,3
3769,other,745.0,2.0,50.0,2
3771,other,923.0,2.0,50.0,2
3775,other,1355.0,2.0,95.0,2
3776,other,833.0,1.0,49.0,1
3778,other,669.0,1.0,36.85,1
3780,other,1594.0,3.0,125.0,3
3781,other,1790.0,3.0,105.0,3
3786,other,3000.0,5.0,270.0,4
3787,other,1385.0,2.0,76.18,3
3788,other,1207.0,2.0,79.9,2
3790,other,1220.0,2.0,68.0,2
3791,other,3596.0,5.0,252.0,4
3792,other,1965.0,3.0,120.0,3
3793,other,1760.0,2.0,115.0,3
3794,other,1225.0,2.0,70.0,2
3796,other,1000.0,2.0,68.0,2
3797,other,1891.0,3.0,109.0,3
3798,other,1322.0,2.0,86.0,2
3799,other,3600.0,4.0,260.0,4
3801,other,1545.0,3.0,85.0,3
3802,other,1996.0,3.0,135.0,3
3803,other,1125.0,2.0,70.0,2
3804,other,1560.0,3.0,115.0,3
3806,other,3100.0,4.0,310.0,4
3808,other,1350.0,2.0,110.0,2
3809,other,2275.0,4.0,180.0,3
3813,other,708.0,1.0,28.32,1
3814,other,1680.0,3.0,160.0,3
3815,other,1400.0,2.0,82.0,2
3816,other,1310.0,2.0,72.0,2
3819,other,1428.0,2.0,80.0,3
3820,other,3252.0,4.0,280.0,4
3823,other,1200.0,2.0,68.0,3
3826,other,1842.0,3.0,115.0,3
3828,other,440.0,1.0,28.0,1
3830,other,1801.0,3.0,115.0,3
3831,other,1232.0,2.0,69.61,2
3832,other,1150.0,2.0,90.0,2
3833,other,1868.0,3.0,120.0,3
3835,other,1466.0,2.0,140.0,3
3836,other,1730.0,3.0,100.0,3
3837,other,3860.0,3.0,402.0,3
3838,other,1185.0,2.0,70.0,2
3839,other,3027.0,4.0,260.0,3
3840,other,2400.0,4.0,147.0,4
3843,other,2000.0,4.0,180.0,5
3845,other,1760.0,3.0,123.0,3
3847,other,1000.0,2.0,78.0,2
3848,other,1215.0,2.0,90.0,2
3849,other,1734.0,3.0,125.0,3
3854,other,1100.0,2.0,70.0,2
3856,other,3657.0,5.0,220.0,4
3859,other,2790.0,4.0,198.0,4
3860,other,3500.0,3.0,198.0,3
3865,other,2987.5,5.0,191.0,4
3870,other,1280.0,4.0,115.0,4
3872,other,645.0,1.0,16.45,1
3874,other,1207.0,2.0,62.0,2
3875,other,1678.0,3.0,125.0,3
3876,other,950.0,2.0,50.0,2
3877,other,1070.0,2.0,55.0,2
3878,other,1732.46,3.0,92.0,3
3880,other,1360.0,2.0,103.0,2
3881,other,2592.0,4.0,250.0,4
3882,other,1656.0,3.0,150.0,3
3884,other,1999.0,3.0,135.0,3
3885,other,1050.0,2.0,75.0,2
3887,other,1600.0,2.0,160.0,3
3889,other,1200.0,3.0,85.0,3
3890,other,1360.0,2.0,75.0,3
3892,other,1655.0,3.0,155.0,3
3893,other,2600.0,4.0,260.0,4
3894,other,1418.0,2.0,78.0,2
3895,other,1270.0,2.0,100.0,2
3897,other,1150.0,2.0,74.0,2
3898,other,600.0,3.0,45.0,2
3900,other,1200.0,2.0,108.0,3
3901,other,1200.0,2.0,75.0,2
3903,other,1200.0,5.0,92.0,4
3904,other,624.0,1.0,35.0,1
3905,other,1060.0,2.0,58.0,2
3906,other,3960.0,5.0,386.0,4
3912,other,722.0,1.0,46.0,1
3913,other,2775.0,3.0,165.0,4
3914,other,1200.0,2.0,93.0,2
3918,other,705.0,1.0,52.5,1
3919,other,1880.0,3.0,94.36,3
3920,other,1200.0,2.0,70.0,2
3922,other,1893.0,3.0,130.0,3
3926,other,4000.0,3.0,235.0,3
3927,other,1541.0,3.0,80.0,3
3928,other,1830.0,3.0,101.0,3
3933,other,706.0,1.0,48.24,1
3934,other,1350.0,4.0,85.0,4
3935,other,1900.0,3.0,99.0,3
3938,other,1290.0,2.0,80.0,2
3943,other,1730.0,3.0,140.0,3
3947,other,3216.0,5.0,300.0,4
3949,other,1115.0,2.0,60.0,2
3950,other,1900.0,3.0,150.0,3
3954,other,416.0,1.0,19.5,1
3955,other,1394.0,2.0,100.0,2
3956,other,2138.0,3.0,110.0,3
3957,other,1550.0,3.0,160.0,3
3958,other,1300.0,3.0,80.0,3
3959,other,1265.0,2.0,82.0,2
3963,other,1012.0,2.0,59.0,2
3964,other,1600.0,4.0,112.0,4
3966,other,1654.0,2.0,85.0,3
3968,other,1700.0,3.0,95.0,3
3969,other,910.2,2.0,80.64,2
3971,other,4960.0,4.0,400.0,4
3972,other,2254.0,3.0,170.0,3
3974,other,2462.0,6.0,150.0,4
3975,other,615.0,1.0,44.0,1
3976,other,1110.0,2.0,65.0,2
3977,other,1025.0,2.0,54.1,2
3978,other,1758.0,3.0,95.0,3
3979,other,1342.0,3.0,92.0,3
3981,other,2928.0,4.0,198.0,4
3983,other,1608.0,2.0,85.0,2
3984,other,1645.0,2.0,82.0,3
3989,other,1200.0,3.0,85.0,2
3990,other,1080.0,2.0,73.0,2
3992,other,1092.0,2.0,60.0,2
3993,other,1932.0,4.0,135.0,3
3994,other,1156.0,2.0,72.0,2
3996,other,1330.0,2.0,75.0,2
3997,other,1917.0,4.0,113.0,3
3999,other,655.0,1.0,53.0,1
4000,other,1800.0,3.0,140.0,3
4002,other,1785.0,3.0,118.0,3
4004,other,1645.0,3.0,120.0,3
4006,other,900.0,2.0,48.0,2
4007,other,662.0,1.0,42.0,1
4010,other,1525.0,2.0,87.0,3
4012,other,1255.0,2.0,90.0,3
4013,other,1560.0,3.0,120.0,3
4014,other,2100.0,3.0,110.0,3
4015,other,1620.0,2.0,85.0,3
4016,other,1595.0,3.0,90.0,3
4020,other,1418.0,2.0,106.0,2
4021,other,1900.0,2.0,180.0,3
4022,other,2700.0,5.0,175.0,3
4024,other,755.0,1.0,42.41,1
4025,other,1645.0,3.0,117.0,3
4026,other,2400.0,3.0,190.0,3
4027,other,645.0,1.0,16.45,1
4028,other,3900.0,4.0,333.0,4
4029,other,2400.0,4.0,200.0,3
4031,other,1725.0,3.0,110.0,3
4032,other,1346.0,2.0,71.32,2
4035,other,640.0,1.0,20.5,1
4038,other,1645.0,3.0,87.5,3
4039,other,1350.0,2.0,89.0,2
4045,other,1948.0,3.0,130.0,3
4050,other,3905.0,7.0,290.0,5
4051,other,2600.0,3.0,140.0,3
4052,other,1300.0,3.0,89.13,3
4053,other,1130.0,2.0,73.0,2
4054,other,1690.0,3.0,125.0,3
4055,other,4500.0,4.0,360.0,3
4056,other,950.0,2.0,60.0,2
4057,other,1020.0,2.0,57.0,2
4062,other,2215.0,4.0,156.0,3
4064,other,1804.0,3.0,102.0,3
4065,other,1600.0,3.0,88.0,2
4066,other,1280.0,2.0,75.0,2
4067,other,1255.0,3.0,77.68,3
4068,other,1257.0,2.0,69.0,2
4070,other,1850.0,6.0,150.0,6
4071,other,1255.0,2.0,66.0,2
4073,other,1789.0,3.0,98.0,3
4076,other,1235.0,2.0,65.0,2
4079,other,1395.0,2.0,72.0,3
4081,other,1252.0,2.0,71.0,3
4083,other,1255.0,3.0,130.0,3
4084,other,2062.0,3.0,150.0,4
4087,other,1180.0,2.0,60.0,3
4088,other,715.0,1.0,29.0,1
4089,other,1230.0,2.0,94.5,2
4091,other,3360.0,5.0,225.0,4
4092,other,1300.0,3.0,77.99,3
4094,other,1216.0,2.0,84.0,2
4096,other,705.0,1.0,57.0,1
4101,other,1320.0,2.0,110.0,2
4104,other,1586.0,3.0,90.0,3
4107,other,1263.0,2.0,107.0,2
4109,other,2882.0,5.0,204.0,4
4110,other,2320.0,3.0,170.0,3
4111,other,1750.0,3.0,99.0,3
4113,other,1936.0,3.0,118.0,3
4116,other,1402.0,2.0,85.0,3
4120,other,1680.0,3.0,135.0,4
4121,other,2422.0,3.0,150.0,4
4122,other,1145.0,2.0,100.0,2
4124,other,1145.0,2.0,62.0,2
4134,other,1085.0,2.0,70.0,2
4138,other,1169.0,2.0,64.0,2
4139,other,1840.0,3.0,140.0,3
4141,other,997.0,2.0,53.0,2
4143,other,1000.0,2.0,60.0,2
4144,other,1000.0,2.0,60.0,2
4145,other,1500.0,3.0,88.0,3
4146,other,1165.0,2.0,75.0,2
4147,other,1787.0,3.0,123.0,3
4148,other,1288.0,2.0,70.0,3
